sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
二林,彰化縣,143,細懸浮微粒,對敏感族群不健康,4.6,0.52,42,15,75,46,10,12.8,2.7,1.9,0,"2024-12-01 10:00",,0.4,51.7,78,2,120.409653,23.925175,35
線西,彰化縣,96,細懸浮微粒,普通,5.3,0.36,41,23,58,29,14,18.3,3.8,3,358,"2024-12-01 10:00",,0.4,33.9,51,2,120.469061,24.131672,34
彰化,彰化縣,87,細懸浮微粒,普通,2.5,0.51,40,25,49,30,16,20.1,4.2,1.1,358,"2024-12-01 10:00",,0.4,30,42,2,120.541519,24.066,33
西屯,臺中市,97,細懸浮微粒,普通,2.6,0.32,44,12,45,23,9,11.6,2.6,2.3,23,"2024-12-01 10:00",,0.5,34,50,1,120.616917,24.162197,32
忠明,臺中市,88,細懸浮微粒,普通,2.7,0.38,42,11,46,22,10,14.2,3.9,1.6,359,"2024-12-01 10:00",,0.5,30.4,46,1,120.641092,24.151958,31
大里,臺中市,93,細懸浮微粒,普通,3.1,0.65,38,14,60,39,17,22.3,5,1.7,297,"2024-12-01 10:00",,0.5,32.6,47,2,120.67844444,24.09961111,30
沙鹿,臺中市,103,細懸浮微粒,對敏感族群不健康,2.5,0.31,15,9,43,16,8,9,1.3,1.4,350,"2024-12-01 10:00",,0.4,36.4,58,2,120.568794,24.225628,29
豐原,臺中市,56,細懸浮微粒,普通,1.4,0.25,36,30,20,16,6,8.1,2.3,2,323,"2024-12-01 10:00",,0.3,17.6,24,2,120.74252414,24.25699731,28
三義,苗栗縣,59,細懸浮微粒,普通,1.9,0.27,46,37,33,19,5,6.3,1.4,2.7,7,"2024-12-01 10:00",,0.2,18.9,29,1,120.75956754,24.38248443,27
苗栗,苗栗縣,60,細懸浮微粒,普通,1.9,0.28,38,25,32,15,8,11.4,3.3,0.8,16,"2024-12-01 10:00",,0.3,19.1,29,1,120.82011468,24.56499183,26
頭份,苗栗縣,60,細懸浮微粒,普通,1.9,0.3,36,22,32,21,6,9.4,2.9,1.1,95,"2024-12-01 10:00",,0.2,19,28,2,120.89869286,24.69690679,25
新竹,新竹市,62,細懸浮微粒,普通,1.3,0.46,25,12,42,21,19,27.6,8.3,1.1,50,"2024-12-01 10:00",,0.4,19.8,31,1,120.97236752,24.8056356,24
竹東,新竹縣,59,細懸浮微粒,普通,4.3,0.31,30,20,30,27,7,9.8,2.4,1.3,111,"2024-12-01 10:00",,0.3,18.7,25,1,121.08895493,24.74091408,23
湖口,新竹縣,51,細懸浮微粒,普通,2,0.24,48,32,31,12,6,7.2,1.1,0.6,252,"2024-12-01 10:00",,0.3,15.6,31,2,121.03886894,24.90009696,22
龍潭,桃園市,60,細懸浮微粒,普通,1.4,0.38,39,26,38,23,10,13.4,3.4,1.4,188,"2024-12-01 10:00",,0.3,19.1,30,1,121.21645772,24.86400048,21
平鎮,桃園市,55,細懸浮微粒,普通,2,0.36,46,24,33,14,10,12,2.2,0.8,109,"2024-12-01 10:00",,0.3,17.2,30,1,121.203986,24.952786,20
觀音,桃園市,67,細懸浮微粒,普通,1.2,0.24,45,26,28,17,7,8.1,1.2,0.8,223,"2024-12-01 10:00",,0.2,22,39,1,121.08283092,25.03556747,19
大園,桃園市,54,細懸浮微粒,普通,1.4,0.26,48,18,29,14,8,10.3,2.2,1.8,155,"2024-12-01 10:00",,0.3,16.6,31,1,121.20251473,25.06100357,18
桃園,桃園市,63,細懸浮微粒,普通,2.8,0.51,26,10,42,29,19,26.2,7,1,206,"2024-12-01 10:00",,0.5,20.2,31,1,121.30500531,24.9947107,17
大同,臺北市,54,細懸浮微粒,普通,1.2,1.41,8,9,35,22,28,68.2,40.2,-,-,"2024-12-01 10:00",,0.7,16.9,24,1,121.51342074,25.06331455,16
松山,臺北市,52,細懸浮微粒,普通,0.9,0.5,,9,24,,22,35.7,13.7,0.4,44,"2024-12-01 10:00",,0.3,16,27,1,121.578611,25.05,15
古亭,臺北市,33,,良好,1.7,0.38,22,17,18,10,10,15.3,4.9,0.8,232,"2024-12-01 10:00",,0.2,10.2,15,1,121.529556,25.020608,14
萬華,臺北市,34,,良好,1.2,0.44,20,16,25,15,14,20.8,6.5,0.2,109,"2024-12-01 10:00",,0.3,10.6,18,1,121.507972,25.046503,13
中山,臺北市,40,,良好,0.9,0.38,22,18,21,12,13,20.2,6.7,1,130,"2024-12-01 10:00",,0.3,12.3,19,1,121.526528,25.062361,12
士林,臺北市,35,,良好,1,0.5,23,22,30,17,22,30.6,8.9,0.9,183,"2024-12-01 10:00",,0.2,8.8,18,1,121.51666356,25.10334003,11
淡水,新北市,39,,良好,1.6,0.43,28,15,35,17,15,21.4,6.5,2,180,"2024-12-01 10:00",,0.4,12.1,24,1,121.449239,25.1645,10
林口,新北市,40,,良好,1.5,0.28,49,30,24,10,10,11.4,1.8,0.9,133,"2024-12-01 10:00",,0.2,12.3,22,1,121.36548982,25.07798949,9
菜寮,新北市,58,細懸浮微粒,普通,1.1,0.75,22,6,34,25,24,34.9,10.4,0.8,157,"2024-12-01 10:00",,0.7,18.2,24,0,121.481028,25.06895,8
新莊,新北市,55,細懸浮微粒,普通,2,0.61,28,8,47,22,21,28.7,7.7,1.3,155,"2024-12-01 10:00",,0.5,17.1,33,1,121.4325,25.037972,7
板橋,新北市,58,細懸浮微粒,普通,1.6,0.89,23,9,38,27,28,40.8,12.6,0.5,148,"2024-12-01 10:00",,0.5,18.3,25,0,121.458667,25.012972,6
土城,新北市,50,,良好,2,0.63,17,10,40,27,30,50.5,20.2,0.6,192,"2024-12-01 10:00",,0.4,15,24,1,121.451861,24.982528,5
新店,新北市,39,,良好,0.6,0.39,20,18,23,14,13,18.9,6,0.8,18,"2024-12-01 10:00",,0.2,12.1,18,0,121.537778,24.977222,4
萬里,新北市,36,,良好,0.8,0.32,40,33,42,13,9,12.5,3.3,1.9,37,"2024-12-01 10:00",,0.2,11,22,0,121.689881,25.179667,3
汐止,新北市,44,,良好,1,0.4,17,4,30,12,19,33.4,14.1,0.3,258,"2024-12-01 10:00",,0.4,13.7,22,1,121.64081,25.06624,2
基隆,基隆市,30,,良好,1.3,0.33,33,10,21,10,8,11.7,3.9,1.6,275,"2024-12-01 10:00",,0.4,9.1,16,1,121.760056,25.129167,1
屏東(枋山),屏東縣,33,,良好,0.8,0.17,45,37,22,11,2,2.8,0.3,0.6,316,"2024-12-01 09:00",,0.1,6.5,17,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,22,,良好,0.1,0.3,24,22,11,8,4,6.6,2.3,2.2,206,"2024-12-01 09:00",,0.2,6.9,10,0,121.61575076,23.97709367,312
新北(樹林),新北市,57,細懸浮微粒,普通,0.6,0.48,9,7,37,35,13,18.1,5.1,0,93,"2024-12-01 09:00",,0.3,18,23,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,68,細懸浮微粒,普通,1.4,0.29,37,39,43,21,12,13.9,1.8,2.1,344,"2024-12-01 09:00",,0.2,22.5,40,2,120.37722,22.35222,204
臺南（麻豆）,臺南市,108,細懸浮微粒,對敏感族群不健康,1.7,0.41,34,20,61,30,13,15,2.3,1.3,1,"2024-12-01 09:00",,0.4,38.2,64,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,89,細懸浮微粒,普通,2.8,0.29,28,24,42,30,10,12.1,1.7,0.8,63,"2024-12-01 09:00",,0.2,30.9,49,2,120.24535,22.87985556,202
彰化（員林）,彰化縣,84,細懸浮微粒,普通,1.8,0.46,30,16,35,21,8,10,2.2,0.8,24,"2024-12-01 09:00",,0.4,28.8,49,2,120.56373,23.96117,201
大城,彰化縣,152,細懸浮微粒,對所有族群不健康,2.1,0.37,34,13,76,53,11,14.2,3.4,2.5,51,"2024-12-01 09:00",,0.4,57,79,1,120.26964167,23.85493056,85
富貴角,新北市,41,,良好,0.5,0.22,44,44,44,15,6,6.9,1,0.6,286,"2024-12-01 09:00",,0.1,9.8,27,0,121.53656894,25.29681695,84
麥寮,雲林縣,147,細懸浮微粒,對敏感族群不健康,2.4,0.34,35,17,62,42,9,11.5,2.5,2.6,5,"2024-12-01 09:00",,0.4,53.4,69,2,120.251825,23.753506,83
關山,臺東縣,29,,良好,1.5,0.21,13,12,24,9,5,8.9,3.6,1.1,3,"2024-12-01 09:00",,0.1,9,21,0,121.161933,23.045083,80
馬公,澎湖縣,45,,良好,1.3,0.18,51,49,22,9,3,3.8,0.8,2.9,14,"2024-12-01 09:00",,0.1,8.2,19,0,119.566158,23.569031,78
金門,金門縣,69,細懸浮微粒,普通,1.9,0.32,35,31,44,16,14,15.9,2.1,1.4,317,"2024-12-01 09:00",,0.2,22.8,43,1,118.312256,24.432133,77
馬祖,連江縣,58,細懸浮微粒,普通,3.1,0.47,35,45,37,22,12,13.5,1.7,1.1,323,"2024-12-01 09:00",,0.5,18.2,34,1,119.952724,26.153736,75
埔里,南投縣,90,細懸浮微粒,普通,1.1,0.38,17,12,28,24,6,9.2,3.4,0.9,356,"2024-12-01 09:00",,0.3,31.2,36,1,120.967903,23.968842,72
復興,高雄市,82,細懸浮微粒,普通,2.2,0.56,32,37,42,27,21,25.6,4.5,0.8,136,"2024-12-01 09:00",,0.3,28.1,45,1,120.312017,22.608711,71
永和,新北市,32,,良好,1.3,0.77,9,17,21,13,15,30.9,15.6,0.8,62,"2024-12-01 09:00",,0.3,9.9,18,1,121.516306,25.017,70
竹山,南投縣,86,細懸浮微粒,普通,1.3,0.3,25,18,33,25,8,10.8,2.5,0.8,324,"2024-12-01 09:00",,0.2,29.9,39,1,120.677306,23.756389,69
中壢,桃園市,75,細懸浮微粒,普通,2.9,1.22,14,14,47,32,24,47.9,23.3,0.2,168,"2024-12-01 09:00",,0.6,25.2,36,2,121.221667,24.953278,68
三重,新北市,54,細懸浮微粒,普通,1.2,0.8,10,6,29,23,24,60.6,37,-,-,"2024-12-01 09:00",,0.7,16.8,26,1,121.493806,25.072611,67
冬山,宜蘭縣,26,,良好,0.8,0.31,20,18,30,11,12,16.7,4.8,0.6,300,"2024-12-01 09:00",,0.2,8.1,21,0,121.792928,24.632203,66
宜蘭,宜蘭縣,23,,良好,2,0.23,28,26,17,9,4,5,1.4,0.3,289,"2024-12-01 09:00",,0.1,7.1,13,1,121.746394,24.747917,65
陽明,臺北市,47,,良好,1.5,0.24,53,52,27,13,4,5.5,1.1,0.7,150,"2024-12-01 09:00",,0.2,10.5,25,1,121.529583,25.182722,64
花蓮,花蓮縣,19,,良好,1.5,0.21,22,20,22,5,2,3.2,1.3,2.4,226,"2024-12-01 09:00",,0.1,5,16,1,121.599769,23.971306,63
臺東,臺東縣,24,,良好,0.9,0.17,22,26,14,5,2,4.6,2.4,1.3,309,"2024-12-01 09:00",,0.1,6,14,1,121.15045,22.755358,62
恆春,屏東縣,41,,良好,0.8,0.14,43,45,11,4,1,1.8,0.6,6.2,28,"2024-12-01 09:00",,0.1,4.7,12,0,120.788928,21.958069,61
潮州,屏東縣,71,細懸浮微粒,普通,1.1,0.27,29,16,34,28,3,4,0.7,1.2,47,"2024-12-01 09:00",,0.2,23.5,33,1,120.561175,22.523108,60
屏東,屏東縣,67,細懸浮微粒,普通,1.6,0.38,25,24,35,18,10,11.8,2.2,1.2,41,"2024-12-01 09:00",,0.3,22.1,42,1,120.488033,22.673081,59
小港,高雄市,80,細懸浮微粒,普通,1.4,0.35,27,31,32,27,18,22.8,4.5,1.6,26,"2024-12-01 09:00",,0.3,27.1,40,2,120.337736,22.565833,58
前鎮,高雄市,79,細懸浮微粒,普通,1.9,0.48,34,38,39,25,20,24,4,2.4,24,"2024-12-01 09:00",,0.3,26.9,45,1,120.30833356,22.6044507,57
前金,高雄市,71,細懸浮微粒,普通,1.7,0.4,42,40,53,21,15,16.9,2.2,2,338,"2024-12-01 09:00",,0.3,23.6,52,1,120.28676111,22.63390278,56
左營,高雄市,77,細懸浮微粒,普通,2.3,0.44,38,35,49,23,21,25,4.2,1.6,10,"2024-12-01 09:00",,0.3,26,48,1,120.292917,22.674861,54
楠梓,高雄市,73,細懸浮微粒,普通,2.4,0.43,37,32,68,43,17,19.3,2.5,0.8,88,"2024-12-01 09:00",,0.2,24.4,44,1,120.328289,22.733667,53
林園,高雄市,75,細懸浮微粒,普通,1.6,0.28,28,25,34,23,8,8.8,1.3,2.3,334,"2024-12-01 09:00",,0.2,25.3,40,2,120.41175,22.4795,52
大寮,高雄市,65,細懸浮微粒,普通,12.2,0.31,24,25,25,19,14,17.7,3.8,1.2,60,"2024-12-01 09:00",,0.2,21.2,28,6,120.425311,22.56413611,51
鳳山,高雄市,79,細懸浮微粒,普通,2,0.4,30,32,32,21,10,11.7,1.6,0.5,113,"2024-12-01 09:00",,0.3,26.7,42,1,120.357422,22.628126,50
仁武,高雄市,86,細懸浮微粒,普通,2.8,0.48,43,30,45,29,14,16.3,2.3,1.5,87,"2024-12-01 09:00",,0.3,29.8,43,1,120.332631,22.689056,49
橋頭,高雄市,79,細懸浮微粒,普通,1.7,0.3,28,22,44,33,14,16.4,2.7,1.8,61,"2024-12-01 09:00",,0.3,26.8,40,1,120.305689,22.757506,48
美濃,高雄市,59,細懸浮微粒,普通,0.9,0.28,34,18,37,23,6,7.4,1.7,0.7,171,"2024-12-01 09:00",,0.2,18.7,30,1,120.530542,22.883583,47
臺南,臺南市,85,細懸浮微粒,普通,2.8,0.39,39,25,51,28,21,24,3.2,1.7,37,"2024-12-01 09:00",,0.3,29.4,51,1,120.21947897,22.98928311,46
安南,臺南市,100,細懸浮微粒,普通,2.5,0.33,39,22,43,20,11,13.6,3,1.8,334,"2024-12-01 09:00",,0.4,35.4,60,1,120.2175,23.048197,45
善化,臺南市,77,細懸浮微粒,普通,3,0.3,29,13,49,20,12,17.1,4.8,2.9,7,"2024-12-01 09:00",,0.3,25.9,44,1,120.29740529,23.11337642,44
新營,臺南市,99,細懸浮微粒,普通,2.3,0.36,32,27,50,31,12,15.2,3.1,1.8,34,"2024-12-01 09:00",,0.4,35,54,2,120.31725,23.305633,43
嘉義,嘉義市,80,細懸浮微粒,普通,2.8,0.35,32,19,37,24,10,12,2.4,1.9,68,"2024-12-01 09:00",,0.3,27.3,38,2,120.44125148,23.46477865,42
臺西,雲林縣,139,細懸浮微粒,對敏感族群不健康,1.3,0.37,34,15,75,44,12,13.4,1.8,2.9,26,"2024-12-01 09:00",,0.4,50.3,78,1,120.19933333,23.702175,41
朴子,嘉義縣,104,細懸浮微粒,對敏感族群不健康,2.5,0.43,25,12,52,34,,,,1,79,"2024-12-01 09:00",,0.4,36.8,59,2,120.2478,23.46538,40
新港,嘉義縣,105,細懸浮微粒,對敏感族群不健康,2,0.41,20,14,49,33,13,18.7,5.6,1.8,24,"2024-12-01 09:00",,0.4,37.1,59,2,120.345531,23.554839,39
崙背,雲林縣,124,細懸浮微粒,對敏感族群不健康,2.2,0.42,32,12,71,43,10,12.2,1.7,1.1,15,"2024-12-01 09:00",,0.4,44.5,64,1,120.348742,23.757547,38
斗六,雲林縣,81,細懸浮微粒,普通,1.6,0.25,27,21,30,17,5,7.1,2,2.2,4,"2024-12-01 09:00",,0.2,27.6,41,1,120.544994,23.711853,37
南投,南投縣,102,細懸浮微粒,對敏感族群不健康,1.7,0.41,22,14,43,33,9,13.5,4.3,0.9,48,"2024-12-01 09:00",,0.3,35.8,47,1,120.685306,23.913,36
二林,彰化縣,144,細懸浮微粒,對敏感族群不健康,2.2,0.41,28,11,60,39,10,12.9,3.2,1.3,38,"2024-12-01 09:00",,0.4,52,79,2,120.409653,23.925175,35
線西,彰化縣,98,細懸浮微粒,普通,1.9,0.49,29,20,58,40,13,17.4,4.4,0.8,27,"2024-12-01 09:00",,0.4,34.5,50,2,120.469061,24.131672,34
彰化,彰化縣,85,細懸浮微粒,普通,2.4,0.59,24,22,51,36,18,23.6,5.7,1.2,18,"2024-12-01 09:00",,0.3,29.5,40,2,120.541519,24.066,33
西屯,臺中市,101,細懸浮微粒,對敏感族群不健康,2.2,0.53,24,7,53,39,18,24.1,6.2,2.2,50,"2024-12-01 09:00",,0.5,35.5,50,1,120.616917,24.162197,32
忠明,臺中市,91,細懸浮微粒,普通,2,0.67,19,6,46,33,24,34.6,10.6,1,21,"2024-12-01 09:00",,0.6,31.6,45,1,120.641092,24.151958,31
大里,臺中市,90,細懸浮微粒,普通,2.4,0.66,22,10,52,41,15,20.9,5.5,0.3,167,"2024-12-01 09:00",,0.5,31.5,44,2,120.67844444,24.09961111,30
沙鹿,臺中市,112,細懸浮微粒,對敏感族群不健康,3.1,0.41,8,9,58,31,13,15.9,2.5,2.5,334,"2024-12-01 09:00",,0.4,39.8,61,2,120.568794,24.225628,29
豐原,臺中市,57,細懸浮微粒,普通,1.5,0.37,22,29,19,18,11,14.6,4,1.4,5,"2024-12-01 09:00",,0.3,17.9,25,2,120.74252414,24.25699731,28
三義,苗栗縣,59,細懸浮微粒,普通,1.9,0.29,37,36,36,17,6,7.5,1.6,2.3,13,"2024-12-01 09:00",,0.2,18.7,27,1,120.75956754,24.38248443,27
苗栗,苗栗縣,62,細懸浮微粒,普通,1.6,0.35,29,25,31,16,8,10.4,2.8,0.9,165,"2024-12-01 09:00",,0.3,19.9,28,1,120.82011468,24.56499183,26
頭份,苗栗縣,59,細懸浮微粒,普通,1.6,0.38,21,21,34,23,8,11.4,3.1,1.6,122,"2024-12-01 09:00",,0.2,18.6,27,2,120.89869286,24.69690679,25
新竹,新竹市,62,細懸浮微粒,普通,1.1,0.53,13,12,34,24,20,28.6,8.8,0.9,80,"2024-12-01 09:00",,0.3,20.1,28,1,120.97236752,24.8056356,24
竹東,新竹縣,54,細懸浮微粒,普通,1.6,0.39,22,19,30,17,8,11.2,2.7,1.3,108,"2024-12-01 09:00",,0.2,16.8,24,1,121.08895493,24.74091408,23
湖口,新竹縣,52,細懸浮微粒,普通,2,0.31,33,30,38,22,8,9.9,1.4,1,185,"2024-12-01 09:00",,0.3,16,30,2,121.03886894,24.90009696,22
龍潭,桃園市,57,細懸浮微粒,普通,1.1,0.44,23,24,36,20,11,15,3.9,1.3,182,"2024-12-01 09:00",,0.2,17.8,29,1,121.21645772,24.86400048,21
平鎮,桃園市,54,細懸浮微粒,普通,1.5,0.43,28,21,40,24,13,16.2,2.8,0.8,192,"2024-12-01 09:00",,0.3,16.9,29,1,121.203986,24.952786,20
觀音,桃園市,65,細懸浮微粒,普通,1.2,0.33,30,21,42,29,11,13.4,2.1,1.3,229,"2024-12-01 09:00",,0.3,21.1,40,1,121.08283092,25.03556747,19
大園,桃園市,53,細懸浮微粒,普通,1.3,0.4,24,14,43,21,18,24.7,6.4,1.3,172,"2024-12-01 09:00",,0.3,16.4,30,1,121.20251473,25.06100357,18
桃園,桃園市,56,細懸浮微粒,普通,3.3,0.76,10,7,47,30,26,39.9,14,0.5,198,"2024-12-01 09:00",,0.5,17.6,29,1,121.30500531,24.9947107,17
大同,臺北市,49,,良好,1.1,0.9,6,9,27,19,27,61.2,34.6,-,-,"2024-12-01 09:00",,0.6,15.2,22,1,121.51342074,25.06331455,16
松山,臺北市,47,,良好,0.8,0.46,13,10,40,29,17,23.6,6.4,0.3,49,"2024-12-01 09:00",,0.3,14.4,27,1,121.578611,25.05,15
古亭,臺北市,32,,良好,1.5,0.37,12,17,13,11,13,17.8,5.1,0.6,228,"2024-12-01 09:00",,0.2,10,14,1,121.529556,25.020608,14
萬華,臺北市,31,,良好,1.1,0.35,15,15,18,12,13,17.5,4.3,0.2,120,"2024-12-01 09:00",,0.3,9.7,18,1,121.507972,25.046503,13
中山,臺北市,41,,良好,0.9,0.37,17,17,19,11,12,16.9,4.8,1.2,144,"2024-12-01 09:00",,0.3,12.5,19,1,121.526528,25.062361,12
士林,臺北市,24,,良好,0.8,0.35,20,20,17,7,12,16,4,0.7,217,"2024-12-01 09:00",,0.2,7.4,16,1,121.51666356,25.10334003,11
淡水,新北市,35,,良好,1.8,0.42,18,14,26,15,13,18.6,5.8,2,180,"2024-12-01 09:00",,0.4,10.7,22,1,121.449239,25.1645,10
林口,新北市,40,,良好,1.5,0.33,31,28,28,18,14,18.8,4.4,1,243,"2024-12-01 09:00",,0.2,12.3,22,1,121.36548982,25.07798949,9
菜寮,新北市,54,細懸浮微粒,普通,0.7,0.65,14,4,32,23,23,33.8,10.6,0.4,117,"2024-12-01 09:00",,0.7,16.7,22,0,121.481028,25.06895,8
新莊,新北市,53,細懸浮微粒,普通,1.9,0.67,10,5,40,21,25,41,15.8,0.5,209,"2024-12-01 09:00",,0.4,16.2,29,1,121.4325,25.037972,7
板橋,新北市,52,細懸浮微粒,普通,1.5,0.76,9,8,37,32,23,35.7,12.9,0.7,230,"2024-12-01 09:00",,0.4,15.9,22,0,121.458667,25.012972,6
土城,新北市,41,,良好,1.6,0.62,6,10,30,19,23,48.3,25.3,0.6,200,"2024-12-01 09:00",,0.3,12.5,21,1,121.451861,24.982528,5
新店,新北市,38,,良好,0.5,0.41,11,18,21,13,14,20.4,5.8,0.5,52,"2024-12-01 09:00",,0.2,11.6,17,0,121.537778,24.977222,4
萬里,新北市,33,,良好,0.8,0.33,29,32,27,13,8,10.8,2.8,1,226,"2024-12-01 09:00",,0.2,10.2,18,0,121.689881,25.179667,3
汐止,新北市,43,,良好,1,0.66,6,3,28,21,22,49,27.2,0.3,219,"2024-12-01 09:00",,0.4,13.2,20,1,121.64081,25.06624,2
基隆,基隆市,28,,良好,1.3,0.5,16,7,16,11,13,19.9,7,1.3,239,"2024-12-01 09:00",,0.4,8.5,16,1,121.760056,25.129167,1
屏東(枋山),屏東縣,32,,良好,0.5,0.16,33,36,20,6,2,2.6,0.4,2.3,86,"2024-12-01 08:00",,0.1,5.5,16,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,21,,良好,0,0.29,22,22,14,8,4,5.5,1.3,1.4,262,"2024-12-01 08:00",,0.2,6.5,10,0,121.61575076,23.97709367,312
新北(樹林),新北市,43,,良好,0.6,0.42,7,7,34,27,11,15.2,4.2,0,49,"2024-12-01 08:00",,0.3,13.3,20,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,68,細懸浮微粒,普通,1.5,0.28,41,40,42,22,11,11.4,0.7,1.9,344,"2024-12-01 08:00",,0.2,22.5,40,2,120.37722,22.35222,204
臺南（麻豆）,臺南市,110,細懸浮微粒,對敏感族群不健康,1.3,0.56,21,19,71,48,15,19,3.9,0.6,354,"2024-12-01 08:00",,0.4,38.9,64,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,88,細懸浮微粒,普通,1.8,0.33,23,23,56,38,13,13.7,1,1.4,76,"2024-12-01 08:00",,0.3,30.5,50,2,120.24535,22.87985556,202
彰化（員林）,彰化縣,88,細懸浮微粒,普通,1.7,0.49,18,14,45,29,10,13.6,3.6,0.6,108,"2024-12-01 08:00",,0.4,30.6,53,2,120.56373,23.96117,201
大城,彰化縣,152,細懸浮微粒,對所有族群不健康,1.2,0.51,15,12,112,83,11,14.1,3.1,1.1,68,"2024-12-01 08:00",,0.3,55.5,77,1,120.26964167,23.85493056,85
富貴角,新北市,41,,良好,0.6,0.23,44,45,33,14,6,6.5,0.5,0.3,262,"2024-12-01 08:00",,0.1,8.3,23,0,121.53656894,25.29681695,84
麥寮,雲林縣,152,細懸浮微粒,對所有族群不健康,1.8,0.37,23,17,66,47,10,11.7,2.1,1.8,44,"2024-12-01 08:00",,0.4,56.4,72,2,120.251825,23.753506,83
關山,臺東縣,29,,良好,1.7,0.23,9,13,22,8,8,13.1,4.7,0.6,334,"2024-12-01 08:00",,0.1,8.9,20,0,121.161933,23.045083,80
馬公,澎湖縣,45,,良好,1.4,0.17,48,50,21,11,3,3.9,0.7,2.5,3,"2024-12-01 08:00",,0.1,7.7,19,0,119.566158,23.569031,78
金門,金門縣,70,細懸浮微粒,普通,1.8,0.33,32,31,43,27,12,13,1,1.6,336,"2024-12-01 08:00",,0.2,23.2,42,1,118.312256,24.432133,77
馬祖,連江縣,55,細懸浮微粒,普通,3.5,0.66,35,48,35,21,13,13.6,0.8,2.1,349,"2024-12-01 08:00",,0.5,17,33,1,119.952724,26.153736,75
埔里,南投縣,93,細懸浮微粒,普通,1,0.41,7,12,30,25,7,11,3.9,0.9,273,"2024-12-01 08:00",,0.3,32.7,37,1,120.967903,23.968842,72
復興,高雄市,79,細懸浮微粒,普通,2.4,0.56,33,38,52,33,20,23.4,3.3,1.1,108,"2024-12-01 08:00",,0.3,27,44,1,120.312017,22.608711,71
永和,新北市,29,,良好,1,0.37,17,18,15,10,9,13.5,4.2,0.8,154,"2024-12-01 08:00",,0.3,9,17,1,121.516306,25.017,70
竹山,南投縣,88,細懸浮微粒,普通,1.2,0.48,17,18,41,33,11,13.3,2.5,0.4,193,"2024-12-01 08:00",,0.2,30.5,40,1,120.677306,23.756389,69
中壢,桃園市,67,細懸浮微粒,普通,0.7,1.14,8,14,48,29,27,64.8,38.1,0.7,177,"2024-12-01 08:00",,0.6,22.2,32,2,121.221667,24.953278,68
三重,新北市,49,,良好,1.1,0.78,6,6,27,20,24,49.9,25.5,-,-,"2024-12-01 08:00",,0.7,15.1,25,1,121.493806,25.072611,67
冬山,宜蘭縣,24,,良好,1,0.31,12,18,29,13,12,15.7,3.6,0.2,300,"2024-12-01 08:00",,0.2,7.4,19,0,121.792928,24.632203,66
宜蘭,宜蘭縣,23,,良好,1.7,0.22,25,25,12,9,3,4.4,1,0.7,202,"2024-12-01 08:00",,0.1,6.7,12,1,121.746394,24.747917,65
陽明,臺北市,46,,良好,1.6,0.25,52,51,32,16,4,4.8,1.1,0.3,90,"2024-12-01 08:00",,0.2,10.9,27,1,121.529583,25.182722,64
花蓮,花蓮縣,19,,良好,1.5,0.2,21,20,17,3,2,2.7,1.1,2.3,239,"2024-12-01 08:00",,0.1,5.2,15,1,121.599769,23.971306,63
臺東,臺東縣,25,,良好,0.9,0.16,19,28,9,2,2,4,1.7,1.9,300,"2024-12-01 08:00",,0.1,6.5,14,1,121.15045,22.755358,62
恆春,屏東縣,41,,良好,0.9,0.14,44,45,15,5,1,1.7,0.5,4.6,25,"2024-12-01 08:00",,0.1,5,12,0,120.788928,21.958069,61
潮州,屏東縣,70,細懸浮微粒,普通,0.9,0.3,17,15,33,20,4,5.5,1,0.3,58,"2024-12-01 08:00",,0.2,23.2,34,1,120.561175,22.523108,60
屏東,屏東縣,68,細懸浮微粒,普通,1.5,0.36,18,25,41,21,10,11.3,1.3,0.8,342,"2024-12-01 08:00",,0.3,22.4,43,1,120.488033,22.673081,59
小港,高雄市,77,細懸浮微粒,普通,1.8,0.36,28,32,42,28,17,19.2,2.1,1.3,76,"2024-12-01 08:00",,0.3,26,41,2,120.337736,22.565833,58
前鎮,高雄市,77,細懸浮微粒,普通,2.8,0.49,32,40,48,33,22,25,3,0.9,24,"2024-12-01 08:00",,0.3,26.2,45,1,120.30833356,22.6044507,57
前金,高雄市,72,細懸浮微粒,普通,1.7,0.34,40,41,49,26,13,14.2,1.4,1.4,344,"2024-12-01 08:00",,0.3,24.1,51,1,120.28676111,22.63390278,56
左營,高雄市,76,細懸浮微粒,普通,1.4,0.44,35,36,47,27,15,16.6,1.9,0.8,14,"2024-12-01 08:00",,0.3,25.6,46,1,120.292917,22.674861,54
楠梓,高雄市,64,細懸浮微粒,普通,1.6,0.37,24,32,41,23,17,19,1.9,1.1,48,"2024-12-01 08:00",,0.2,20.6,39,1,120.328289,22.733667,53
林園,高雄市,75,細懸浮微粒,普通,1.6,0.28,19,25,37,27,9,9.8,1,1.6,335,"2024-12-01 08:00",,0.2,25.3,40,2,120.41175,22.4795,52
